"","ID","Fixed.Calls","Duration","Mobile","International","Broadband","Cluster"
"1","C100100",120.848605,7282.827272,14.46497,7.593508,0,1
"2","C100200",97.454828,4385.386951,4.307254,13.866595,0,1
"3","C100500",159.382333,9796.169716,33.726267,12.616191,0,1
"4","C100600",59.487145,3155.239911,0.460063,11.412258,0,1
"5","C100700",106.660849,5224.056763,31.111354,8.120497,0,1
"6","C100800",176.201785,7794.600465,110.801165,23.190191,0,1
"7","C100900",141.713627,9213.025823,104.962385,7.386935,0.249809,1
"8","C101000",10.116196,59.377621,495.140842,0,23.29899,1
"9","C101100",33.708705,2323.010302,0.456441,9.53618,0.601038,1
"10","C101200",84.199944,2289.495153,262.592537,37.301682,0,1
"11","C101500",132.614403,7913.245886,2.452387,5.912719,0,1
"12","C101700",49.118024,3551.584557,3.478635,12.843323,239.725398,1
"13","C101900",154.963752,8195.788931,20.819174,9.138844,14.477265,1
"14","C102200",36.509925,7196.169358,19.604897,0,1171.5956,1
"15","C102400",79.277833,4395.627853,6.014791,56.475204,19.896509,1
"16","C102500",68.6842,7542.447728,12.449614,13.228264,0,1
"17","C102600",79.733847,4781.581166,92.960861,30.363704,0,1
"18","C102700",1.664769,131.35515,93.129062,0,2.060959,1
"19","C103000",98.85939,7819.499518,3.67769,5.943178,0,1
"20","C103100",88.259835,4751.334987,176.301798,16.024041,0,1
"21","C103200",97.686675,5022.304905,1.581479,19.150193,0.132962,1
"22","C103700",52.033706,6009.390144,5.397014,6.226179,0,1
"23","C103800",62.270721,8127.357636,46.687787,7.455049,0,1
"24","C104100",140.630679,10085.29401,30.853292,13.483795,3.535151,1
"25","C104300",39.527292,2635.598945,2.265257,9.033486,0,1
"26","C104400",87.767543,3729.918731,2.186031,7.400036,0,1
"27","C104500",60.182637,5677.796993,2.429694,0,586.59559,1
"28","C104600",66.057755,4250.402407,3.212366,10.818923,0,1
"29","C104800",96.128027,9426.946981,1.759149,14.303693,2.624142,1
"30","C104900",107.416654,7016.124106,136.217108,55.996293,0,1
"31","C105100",10.535585,1219.198719,1.22727,7.246467,0,1
"32","C105300",67.283751,2961.657922,0.320214,7.803181,0,1
"33","C105500",121.206559,8544.831794,4.820796,15.885659,0,1
"34","C105600",148.275391,8018.62798,51.020913,19.556577,46.697741,1
"35","C106000",170.800206,11019.28429,1.23327,0,48.874178,1
"36","C106100",16.844937,1344.246183,7.519362,6.338544,0,1
"37","C106200",39.806883,9856.399886,9.010838,31.031419,0,1
"38","C106400",95.818286,5990.241319,7.480856,19.474754,0,1
"39","C106600",71.515311,3365.601687,21.251473,8.524083,0,1
"40","C106700",111.5559,6032.5001,26.309835,26.539913,23.482085,1
"41","C106800",113.889205,6804.935007,0.49192,6.857047,0,1
"42","C107000",248.937098,8715.645812,215.75708,157.367621,177.482955,1
"43","C107200",50.147905,3865.796542,2.257127,8.976146,0,1
"44","C107300",47.553384,2905.287058,15.976202,24.296454,0,1
"45","C107700",44.98337,2623.909438,116.317111,0,1268.922679,1
"46","C107800",11.669404,917.455488,2.151768,0,229.664914,1
"47","C107900",87.411633,4414.271294,45.418893,27.214238,34.600297,1
"48","C108000",108.388819,9377.599071,15.994825,17.095248,0,1
"49","C108200",64.948448,9613.122307,35.268548,6.35558,72.845947,1
"50","C108500",74.502326,6241.162792,19.74758,12.936387,0,1
"51","C108600",73.849029,4645.122001,9.794903,9.398679,15.108515,1
"52","C108700",93.886506,7173.135625,1.267606,24.837443,0,1
"53","C108900",102.827335,5323.067336,5.272053,9.095151,0,1
"54","C109000",104.722813,7196.846951,1.819192,40.846425,0,1
"55","C109100",69.96158,2011.93083,80.040262,37.783622,0,1
"56","C109500",100.536713,10618.58822,179.128385,20.256705,544.279921,1
"57","C109800",96.42143,6817.557383,0,0,752.168915,1
"58","C110000",75.947532,4261.395573,121.710347,31.856904,0,1
"59","C110200",42.828372,4075.477631,23.175705,15.462268,0,1
"60","C110300",73.001954,8647.772616,2.968779,7.875299,0,1
"61","C110400",62.389012,5790.080394,4.796612,7.026188,7.442875,1
"62","C110500",58.081498,4201.743779,34.580767,26.787344,0,1
"63","C110700",21.59879,1063.809547,0.764861,5.29357,0,1
"64","C110800",62.788757,7269.57712,1.654515,10.066839,0,1
"65","C110900",202.818866,11061.38309,39.010166,5.693103,0,1
"66","C111000",59.460609,3311.282585,21.279333,14.864609,0.391426,1
"67","C111300",94.372278,8119.32924,1.125791,5.799932,0,1
"68","C111600",53.190795,7672.580967,12.258581,32.539563,0,1
"69","C111700",23.180086,2947.095931,2.313792,10.493484,0,1
"70","C112000",137.411102,8860.024235,2.526493,5.857045,0,1
"71","C112200",82.43917,8198.335458,37.205256,18.318028,12.205043,1
"72","C112400",117.442747,6973.400228,208.79665,24.475631,0,1
"73","C112500",30.066454,2831.652999,1.965645,5.549034,0,1
"74","C112600",25.911541,1822.245012,10.984665,6.665812,0,1
"75","C112700",38.524874,2387.948116,1.220241,12.647066,2.694114,1
"76","C112800",111.926655,10899.52897,2.102093,7.893647,0.217918,1
"77","C113200",103.005194,6924.813691,6.384439,7.356729,10.791433,1
"78","C113600",98.037602,6109.558215,13.941396,0,857.692966,1
"79","C113800",105.275219,5769.958429,248.12334,45.894799,0,1
"80","C113900",60.113019,2662.270326,79.765577,53.271598,0,1
"81","C114000",36.642067,2493.656413,3.460485,6.00005,0,1
"82","C114100",49.794955,2677.922107,4.39835,11.940626,0,1
"83","C114500",179.549688,7381.9533,2.162592,12.378248,0,1
"84","C114600",138.310876,10292.72783,16.556237,0,25.250983,1
"85","C114700",223.619209,11779.13653,9.005071,40.840318,0,1
"86","C114900",75.370502,3561.097092,2.438865,9.666168,0,1
"87","C115000",105.584115,5399.700891,19.594059,12.346393,0,1
"88","C115100",23.084296,2701.649447,0.98575,11.404425,0,1
"89","C115200",104.990572,4809.473901,2.421992,10.171258,15.797787,1
"90","C115400",120.162199,7946.261343,6.50366,12.024107,210.146419,1
"91","C115600",87.011149,5811.101034,16.941235,10.529278,0,1
"92","C115700",11.511971,996.020575,1.052289,10.417609,0,1
"93","C115900",80.65633,5818.635588,16.533554,28.445877,0,1
"94","C116000",87.325592,5200.456002,2.944379,7.233615,0,1
"95","C116200",133.071825,7595.679147,20.95513,9.461212,102.91081,1
"96","C116400",177.230788,8744.457177,115.261393,14.297055,428.213373,1
"97","C116500",68.923808,5346.751046,46.343952,8.944623,0,1
"98","C116600",95.859047,4453.498665,22.041373,9.476992,0,1
"99","C116700",155.477585,11584.66126,8.154332,18.883401,0,1
"100","C116800",138.075862,9260.83464,35.840271,44.426756,33.809032,1
"101","C116900",104.432078,10053.41459,1.389413,45.535175,0,1
"102","C117100",115.680722,9106.911642,2.169603,11.510638,0,1
"103","C117400",146.598714,8240.125117,11.266722,12.44782,0,1
"104","C117500",11.683687,1040.995777,0.452094,11.081044,0,1
"105","C117600",58.83905,3810.380991,5.160945,18.849784,0,1
"106","C117800",147.33865,6830.452292,13.819736,18.361442,0,1
"107","C118000",173.400197,9904.258768,1.482129,9.439462,0,1
"108","C118100",68.762548,5595.552854,5.801575,5.324266,0,1
"109","C118200",78.744374,6839.965728,64.519272,5.041156,0,1
"110","C118500",63.276883,4278.000557,3.162012,9.24049,0,1
"111","C118900",186.117404,9640.24274,27.856955,6.532205,0,1
"112","C119100",163.349949,9327.032107,4.851171,10.643973,0.315984,1
"113","C119200",87.282792,6163.486018,6.49365,26.650534,0,1
"114","C119300",87.765372,4532.064811,0.766334,14.22901,4.778156,1
"115","C119500",18.408273,3244.816638,165.793594,0,1027.16309,1
"116","C119700",130.793844,4917.212231,39.635465,15.417684,7.013018,1
"117","C119900",112.377707,8508.310141,9.097922,24.114284,0,1
"118","C120100",121.637173,8016.917258,60.593994,10.584713,0,1
"119","C120200",35.213523,1718.126756,30.323797,6.827242,0,1
"120","C120300",98.02487,10063.69925,5.041846,19.799324,0,1
"121","C120400",63.859828,3076.942545,3.457141,9.790271,0,1
"122","C120500",74.187645,7952.853224,0.603124,27.167451,0,1
"123","C120800",61.244033,8336.193663,22.269508,9.132494,295.143059,1
"124","C121100",26.34108,4027.262813,13.193096,26.275181,0.38332,1
"125","C121200",156.042914,7400.654326,42.971054,6.837434,9.28445,1
"126","C121300",94.743612,4604.190523,0.308311,7.807337,0,1
"127","C121600",173.740348,7788.775385,11.153765,51.984728,0,1
"128","C121700",111.57282,4254.217076,277.669219,0,0,1
"129","C121800",101.143469,8990.709375,0,0,594.05015,1
"130","C121900",156.593037,10261.37759,0.153556,17.58501,0,1
"131","C122000",98.584446,5822.250003,16.566094,27.557175,0,1
"132","C122100",201.876623,10749.71554,6.240035,17.89554,0,1
"133","C122200",54.420892,2126.014353,0.818912,7.063536,0,1
"134","C122900",77.102965,8623.865056,48.78401,23.418537,0,1
"135","C123000",101.979762,6640.404714,31.322147,15.686743,0,1
"136","C123100",139.735149,9198.449911,22.02802,13.242429,0,1
"137","C123300",204.626475,6130.483478,165.968015,119.368784,7.543884,1
"138","C123400",97.335311,3043.587283,182.68439,63.119268,8.303571,1
"139","C123500",56.104627,2840.342908,248.730456,13.205955,0,1
"140","C123600",98.93113,4291.825836,0.99035,15.817466,0,1
"141","C123700",111.385994,7716.987042,3.980068,6.902703,0,1
"142","C124100",126.355648,8682.512501,88.297346,31.253388,426.161722,1
"143","C124300",124.855997,11569.47511,1.616946,20.058403,0,1
"144","C124400",147.686429,9425.756551,15.495988,23.145035,0,1
"145","C124700",165.48839,7998.271848,6.975657,0,85.729834,1
"146","C124800",62.392709,6806.007698,100.46058,5.899008,0,1
"147","C124900",91.100218,2626.799534,17.26126,5.99138,0,1
"148","C125000",91.533476,9239.015922,27.231825,18.452381,0,1
"149","C125200",122.104853,5450.889131,240.731399,85.2044,11.869453,1
"150","C125400",134.783995,9285.809836,6.980514,13.817558,0,1
"151","C125500",41.337105,4298.979754,15.256709,41.926298,0,1
"152","C125700",62.199642,4082.813914,26.752076,21.106337,0,1
"153","C125800",82.836502,7046.099587,111.280583,29.067706,20.774705,1
"154","C126100",14.582519,898.055927,0.901426,10.485577,0,1
"155","C126200",147.644808,4890.430211,188.466728,53.594366,0,1
"156","C126300",66.059722,4106.37247,15.062884,8.877105,0,1
"157","C126400",23.280401,3760.11521,7.91251,16.152412,0,1
"158","C126500",20.731979,1009.687166,3.113614,6.331698,0,1
"159","C126600",44.535837,2436.345175,29.485767,5.93374,0,1
"160","C126900",95.069347,6038.735452,6.285434,6.8233,0,1
"161","C127000",178.844401,9675.366222,0.318095,8.024276,0,1
"162","C127100",122.204208,7516.334737,50.472531,12.254055,0,1
"163","C127300",133.431928,10352.39445,142.592494,48.04432,255.689809,1
"164","C127600",38.770005,8838.517949,0.759955,5.563595,0,1
"165","C127700",63.251226,3102.999405,16.514913,19.16279,0,1
"166","C127900",42.030809,3456.745877,1.703154,6.725477,0,1
"167","C128000",115.74329,8140.548114,10.639772,9.824994,0,1
"168","C128100",20.574037,2725.919133,4.455845,14.482774,0,1
"169","C128300",86.907929,5939.205731,34.28478,0,0,1
"170","C128400",45.863463,3127.794337,20.900652,16.959501,0,1
"171","C128500",134.113031,7653.431104,4.568986,22.713885,0,1
"172","C128900",75.772865,7756.141128,48.438589,6.285935,0,1
"173","C129000",65.026298,5641.833037,1.208874,10.558732,3.897939,1
"174","C129200",42.631342,4920.579342,1.832248,12.861839,0,1
"175","C129400",144.707523,9065.279295,106.701996,8.936948,0.006121,1
"176","C129800",101.326856,4955.735054,61.995712,41.202926,0,1
"177","C129900",103.173852,5801.025289,2.875055,8.437353,0,1
"178","C130200",167.127011,6433.976212,86.180801,33.478209,0,1
"179","C130300",65.994536,4659.894866,15.342931,14.762673,0,1
"180","C130400",64.293181,3917.437978,1.394837,6.729719,0,1
"181","C130600",99.758587,3441.508294,2.271413,47.535161,0,1
"182","C130800",24.724814,1598.752405,8.146455,7.124033,0,1
"183","C131000",97.426822,5376.65305,55.250137,0,2645.751224,1
"184","C131100",158.10029,9658.281942,85.816236,14.21784,0,1
"185","C131300",82.030975,11039.46236,3.467396,8.485869,0,1
"186","C131400",69.08225,4666.824064,3.621083,6.288411,0,1
"187","C131500",131.309334,7502.666956,2.896455,31.621422,0,1
"188","C131600",85.233301,5769.542594,42.782432,8.823675,0,1
"189","C131700",63.51173,2485.128377,51.922861,20.44823,0,1
"190","C131800",104.197961,6357.88474,3.376086,21.212099,0,1
"191","C131900",116.096192,7142.969088,5.637086,13.355153,0,1
"192","C132100",128.164538,7051.076955,0.822795,9.115283,0,1
"193","C132200",79.810788,5378.553084,6.794798,8.493336,10.564588,1
"194","C132800",49.030321,8648.706101,3.123694,17.796095,13.562754,1
"195","C132900",159.592414,11215.17109,100.081155,24.972533,0,1
"196","C133500",141.550721,5504.1713,2.089914,16.973781,0,1
"197","C133600",61.905418,2542.104711,62.234455,0,22.86374,1
"198","C133700",42.845925,4048.447422,1.455168,7.56918,0,1
"199","C133800",33.171677,2295.85009,44.56512,23.295642,0,1
"200","C134100",33.504305,2147.943758,5.287792,7.461778,0,1
"201","C134200",135.632956,7596.369951,2.325607,14.296068,0,1
"202","C134400",136.115497,6831.667382,49.893874,0,553.579999,1
"203","C134500",56.111822,5627.925128,28.297126,0,3529.05472,1
"204","C134600",86.787628,7040.935395,27.696304,1.373405,54.242178,1
"205","C134800",101.282165,3581.594534,4.905481,7.135252,0,1
"206","C134900",173.241988,7789.629214,401.53209,32.031503,2.725391,1
"207","C135100",100.56164,7069.64393,60.491861,18.764529,673.202085,1
"208","C135200",119.042225,6775.344365,92.587284,13.044763,2.883852,1
"209","C135400",95.129494,3992.872107,18.617981,13.227547,79.466555,1
"210","C135500",128.422244,8980.645391,3.527441,7.411739,0,1
"211","C135800",137.467326,9064.459722,3.165209,43.887273,0,1
"212","C136000",127.335762,7546.275115,47.665911,25.933169,0,1
"213","C136200",9.124813,1436.317666,0,0,102.109322,1
"214","C136300",278.457869,7547.574859,211.189798,173.480742,34.656765,1
"215","C136400",171.897292,7740.632932,258.580069,0,88.611633,1
"216","C136600",38.308837,3628.983388,51.485879,14.801539,0,1
"217","C136700",97.727726,3828.868452,1.35787,5.384192,0,1
"218","C136800",114.991867,5175.646624,121.586404,9.440027,0,1
"219","C136900",149.820053,9973.080906,338.363938,0,853.535613,1
"220","C137000",118.313368,11721.81134,8.339626,11.690701,36.527133,1
"221","C137300",70.217612,7604.694939,3.441552,0,636.674157,1
"222","C137400",238.328209,11179.61015,18.653095,0.32106,161.84718,1
"223","C137500",79.763755,8459.05357,13.973122,0,691.89672,1
"224","C137800",42.16876,6856.508929,1.057553,33.58622,0,1
"225","C137900",137.291892,7195.806449,54.58889,7.609142,0,1
"226","C138100",123.407743,8533.038356,32.886393,38.90771,1725.41613,1
"227","C138300",42.070859,5154.144538,8.347411,9.689551,0,1
"228","C138400",105.119968,8298.265539,17.801946,6.30101,0,1
"229","C138600",104.52796,6349.601594,0.6427,10.03965,19.311622,1
"230","C138700",125.893922,4508.307717,129.320951,27.350656,5.062341,1
"231","C138800",24.801745,3169.811078,12.05266,22.40702,0,1
"232","C139300",15.22686,3502.738367,1.9591,15.300434,0,1
"233","C139400",103.053505,5018.33194,9.260006,13.18983,0,1
"234","C139600",153.867227,7123.467236,89.527798,52.482183,0,1
"235","C139700",95.356625,6181.814482,73.463156,17.484499,0,1
"236","C139900",59.600772,4037.954974,16.260519,0,1880.338389,1
"237","C140000",28.002468,2469.611273,2.966486,6.849662,0,1
"238","C140100",80.785227,5735.180575,1.36408,5.4528,0,1
"239","C140300",32.362229,4974.669902,4.397778,34.656192,8.27583,1
"240","C140400",92.131491,4883.271962,216.439571,0,1612.084653,1
"241","C140500",86.704939,6734.696071,5.515856,11.808091,0,1
"242","C140600",142.065862,6277.853465,46.605271,12.41925,0,1
"243","C140800",54.143346,2677.957753,28.23828,10.952511,0,1
"244","C140900",144.090723,11342.71944,71.347547,0,229.895592,1
"245","C141100",131.434274,8121.669941,77.463807,7.748104,359.03496,1
"246","C141200",76.579841,4921.318951,1.720484,5.741447,0,1
"247","C141400",81.27282,6276.458625,4.96999,7.472618,0,1
"248","C141500",73.538134,5001.968207,114.794998,0,399.688871,1
"249","C141900",45.870925,7072.446752,26.733519,9.153853,0,1
"250","C142000",107.601316,5622.45169,20.574674,16.647256,21.237408,1
"251","C142100",44.596572,2219.609377,36.711311,5.091786,287.323319,1
"252","C142300",129.718522,4177.714922,89.130573,87.887877,0,1
"253","C142400",71.512863,4221.407689,0.609212,7.367536,0,1
"254","C142600",174.705195,8738.077204,5.340771,9.157615,0,1
"255","C142700",29.869151,2294.234804,22.926275,16.387798,0,1
"256","C142800",79.732778,4832.477477,11.442249,6.533344,0,1
"257","C142900",0,0,0.60528,0,342.537774,1
"258","C143000",48.587464,5009.497415,0.307631,0,332.442019,1
"259","C143200",230.280304,10220.27153,43.565533,10.299659,0,1
"260","C143400",94.491071,7711.11497,9.395421,0,649.309044,1
"261","C143500",50.195879,3493.604224,1.119307,5.57332,0,1
"262","C143600",130.054882,8740.551244,1.29056,15.703222,0,1
"263","C143900",42.955201,1372.89527,82.701609,15.125586,0,1
"264","C144000",122.989352,7453.042779,283.345162,0,0,1
"265","C144100",42.242139,2478.083895,0.307315,7.087539,0,1
"266","C144200",130.691354,8431.446338,26.034061,6.965631,0,1
"267","C144300",96.847109,7631.826606,10.389211,8.480292,0,1
"268","C144400",113.464247,3536.001472,79.000186,11.217277,0,1
"269","C144500",61.402268,4129.384221,2.654866,15.818047,0,1
"270","C144700",48.451878,3326.220891,40.435246,5.611656,0,1
"271","C144900",99.430896,7065.989147,2.65325,6.625378,0,1
"272","C145000",35.03714,2825.919782,0.466558,7.717053,0,1
"273","C145100",86.335133,6818.070479,24.923266,7.030617,0,1
"274","C145400",176.254277,10783.90861,49.016163,16.351352,0,1
"275","C145500",103.079782,6726.541447,71.82861,14.020479,0,1
"276","C145600",134.148195,4008.549574,96.269991,69.702879,0.809459,1
"277","C145700",135.777549,6873.816128,122.479428,9.344002,0,1
"278","C145800",23.656067,1664.838782,0.488689,5.036673,0,1
"279","C146100",91.854833,6827.642313,2.795304,11.719161,0,1
"280","C146500",140.944541,10973.43996,181.715617,33.447189,0.51953,1
"281","C146600",22.129377,1711.775666,6.174948,5.545777,0,1
"282","C146700",109.796225,7846.979941,2.569306,32.100873,2.366262,1
"283","C146900",59.864461,2118.757605,60.634392,5.888761,38.474834,1
"284","C147300",97.385679,4920.376111,3.120343,24.798513,0,1
"285","C147400",38.287979,3085.537395,54.094598,0,978.757584,1
"286","C147500",63.218568,6296.617746,0.484397,8.174571,0,1
"287","C147600",84.905971,4618.113324,1.462208,0,611.475379,1
"288","C147800",29.411875,1436.460637,1.485369,6.216795,0,1
"289","C147900",89.957102,7089.155623,7.584784,20.354739,0,1
"290","C148000",50.299004,3657.696424,57.062672,17.653141,0,1
"291","C148200",69.380871,7167.871361,23.362514,24.201339,27.402262,1
"292","C148300",44.527622,3138.750368,12.959147,7.128241,0,1
"293","C148400",34.062343,2610.506287,4.619075,7.388372,0,1
"294","C148500",63.18774,1060.284146,227.37905,53.186216,0,1
"295","C148600",28.577375,929.53616,10.045746,0,200.259988,1
"296","C148700",185.402391,11495.07407,213.695654,38.596109,0,1
"297","C148800",191.528919,9056.773643,80.394677,9.222802,0,1
"298","C148900",102.356744,4577.698518,4.992467,0,1366.583932,1
"299","C149600",138.680543,7185.721634,30.030503,5.914461,0,1
"300","C149800",49.051191,3067.352641,0.489651,0,403.58439,1
"301","C149900",133.739786,7102.418871,4.629152,8.077811,17.436538,1
"302","C150100",46.433103,4210.565483,2.339889,0,439.473724,1
"303","C150200",102.550743,4275.219635,5.329157,15.698273,0,1
"304","C150400",115.068098,7759.792225,0.9337,16.733652,0,1
"305","C150500",84.788971,3921.955008,238.099792,0,149.021715,1
"306","C150600",287.723933,10225.70486,1.147819,37.489133,0,1
"307","C150700",76.968394,5551.19011,4.105,9.537716,0,1
"308","C150800",55.305918,2497.050877,8.757477,0,660.516205,1
"309","C150900",66.71187,4829.642029,0.150785,5.101723,0,1
"310","C151100",133.249475,7311.957119,78.881437,5.775707,0,1
"311","C151400",80.309698,5111.736268,1.617127,23.445874,0,1
"312","C151600",87.650844,5682.509962,99.916441,24.868208,0,1
"313","C151700",58.791041,4643.822249,32.377701,6.045832,0,1
"314","C151900",139.364521,8827.709146,0.497688,7.904181,0,1
"315","C152000",156.463216,8010.207206,95.72717,8.21294,0.848339,1
"316","C152100",60.688478,2441.750467,46.081964,22.934997,0,1
"317","C152200",85.61946,8330.381442,30.153668,6.666176,29.528498,1
"318","C152400",98.741215,8976.265949,57.922473,14.516758,0,1
"319","C152500",41.292558,7604.326084,40.676131,0,2067.742667,1
"320","C152800",127.317425,9966.928931,101.482106,30.040979,0,1
"321","C153100",153.308814,10319.84418,37.259268,0,93.584362,1
"322","C153300",130.63737,5718.59645,151.398561,47.931395,0,1
"323","C153400",121.546554,4806.240503,37.971252,38.784221,0,1
"324","C153500",104.105163,6860.426895,5.328173,7.708044,0,1
"325","C153600",36.906498,2469.373372,10.109466,0,283.61851,1
"326","C153700",133.673168,9262.380419,34.223833,8.51024,23.318588,1
"327","C153800",32.816856,1601.393022,1.577111,6.600501,0,1
"328","C154100",19.949278,1535.340875,9.948423,0,186.274645,1
"329","C154300",100.538814,10435.25738,0.79876,12.640714,0,1
"330","C154400",61.726177,3767.359936,0.306053,6.628162,0.394178,1
"331","C154800",133.419784,8039.006498,9.454516,57.384178,0,1
"332","C154900",80.440197,4326.835948,1.470126,0,0.711879,1
"333","C155000",108.340507,5199.842008,5.019157,9.939718,0,1
"334","C155200",183.694789,8293.049752,0.786713,5.140843,0,1
"335","C155500",114.104535,6830.272474,118.394164,87.801757,7.433179,1
"336","C155600",92.991242,7369.638055,19.762342,9.88229,0,1
